task,optimizer,lr,batch_size,activation,momentum,epochs,train_acc,test_acc,duration_sec,retcode
cnn,sgd,0.02,128,relu,0.9,15,0.9538,0.7452,100.071115732193,0
cnn,sgd,0.02,128,relu,0.95,15,0.9212,0.7483,99.23041844367981,0
cnn,sgd,0.02,128,tanh,0.9,15,0.9629,0.7378,98.40462517738342,0
cnn,sgd,0.02,128,tanh,0.95,15,0.9207,0.728,95.63112330436707,0
cnn,sgd,0.01,128,tanh,0.9,15,0.9464,0.7478,99.54824352264404,0
cnn,sgd,0.01,128,relu,0.9,15,0.9588,0.7611,98.38641929626465,0
cnn,sgd,0.005,128,relu,0.9,15,0.9027,0.762,96.17930841445923,0
cnn,sgd,0.005,128,tanh,0.9,15,0.8604,0.7502,96.78042984008789,0
cnn,adam,0.001,128,relu,0.9,15,0.9648,0.7517,97.7339916229248,0
cnn,adam,0.001,128,tanh,0.9,15,0.966,0.7098,98.1609296798706,0
